model,fold,rmse,mae,r2
random_forest,1,1.8856616875781298,1.029,0.856912676056338
random_forest,2,1.9441265074097833,1.1452228211262578,0.8715613668570772
random_forest,3,2.0940893008656527,1.3295000000000001,0.8459133413857473
random_forest,4,1.2264428163579122,0.8409611311034496,0.8991130089761692
random_forest,5,1.588146718662983,0.9855,0.8135494363333949
random_forest,6,1.407986383844558,1.040957416958017,0.8979673313333636
random_forest,7,1.694941368333521,0.9559776913257767,0.7860781007433507
random_forest,8,1.7771916768908906,1.0210256410256409,0.8350974186461623
random_forest,9,0.898514669226244,0.6612019177482549,0.9574457022092726
random_forest,10,1.3966406582242723,0.9589743589743593,0.9044178350515464
linear_regression,1,2.0869168813724053,1.2136281835504454,0.8247395545369366
linear_regression,2,2.5680916784081074,1.6011098430995283,0.7758866750927204
linear_regression,3,2.6215593571281386,1.5738237979163696,0.7585128463662291
linear_regression,4,1.1670908203641412,0.9299242141800533,0.9086413090435888
linear_regression,5,1.7744800456690253,1.2027884360181236,0.7672312376656776
linear_regression,6,2.055281879211285,1.3659318351535148,0.7825871934155147
linear_regression,7,1.8325889468668106,0.9727911188669126,0.7499216978615805
linear_regression,8,1.9398416686814994,1.2332674547800777,0.8035321553954362
linear_regression,9,1.4816144276050538,0.9320329889897048,0.8842919747821939
linear_regression,10,1.8602629986941888,1.0972425639665357,0.8304271977004972
svr,1,2.2364472520560126,1.090468397231708,0.7987244945179521
svr,2,2.689827170574438,1.4310716561049346,0.7541357503165241
svr,3,2.7545257717116587,1.3668588236133008,0.7333949804932923
svr,4,0.8761778276273163,0.6288589528181145,0.9485097406413264
svr,5,1.5584724048827308,0.8563464062186885,0.8204519507092247
svr,6,2.080536080938029,1.0743132452789483,0.7772114640568067
svr,7,1.826291473061076,0.7956008667147427,0.7516374734015725
svr,8,1.954071452530528,1.013556011076951,0.8006391884365769
svr,9,1.367836427939772,0.7399218013665644,0.901380813461182
svr,10,1.980611060412177,0.9740271401483699,0.8077767563606398
knn,1,2.9088538538856104,1.9230862710589345,0.6594997688826894
knn,2,3.2172505342686315,2.2694073428063684,0.6482643445670955
knn,3,3.2037478053055297,2.2,0.6393455583616998
knn,4,1.9277860329099745,1.596302377153671,0.7507367687322388
knn,5,2.213337918736591,1.5325979783524688,0.6378588251696748
knn,6,2.795123819335112,2.124900490843573,0.5978904030659359
knn,7,2.046586533114193,1.3293552974735672,0.6881066532128381
knn,8,2.7004987481338545,1.673144431881693,0.6192438968738536
knn,9,2.38477921123961,1.597686603588947,0.7002291225688073
knn,10,2.249362477312683,1.459090286568954,0.7520715336934742
bagging,1,1.9541866263788135,1.0483347869748214,0.8463241299509936
bagging,2,2.277224187470351,1.2575000000000003,0.8237787783535808
bagging,3,2.0317172539504607,1.29,0.8549555287141759
bagging,4,1.2927849418735833,0.8575938952595475,0.8879032215679675
bagging,5,1.5854218681474026,1.07625,0.8141886897061541
bagging,6,1.3164108433244246,0.9558014492158166,0.9108081364946519
bagging,7,1.7216972548848037,0.9791080360079263,0.7792709670809831
bagging,8,1.888697828446755,1.1179487179487178,0.8137553206096388
bagging,9,0.8702019897330735,0.6450835321936379,0.9600852669820923
bagging,10,1.3704661897603294,0.8958947115597795,0.907966878381537
stacking,1,1.8666431619259474,1.0864022344105682,0.859784438874652
stacking,2,2.006949561350229,1.1498813634559049,0.8631264449306303
stacking,3,2.1381339895159077,1.4024990788999356,0.8393634098737863
stacking,4,1.1389306556273044,0.7984586143904432,0.9129968198983766
stacking,5,1.6009638253776273,1.050825063623665,0.8105278011334123
stacking,6,1.4272869765555378,1.068677266436923,0.8951508432407309
stacking,7,1.7007519843330914,0.9938368165904282,0.7846088479449772
stacking,8,1.6447183820313862,0.9406993581535243,0.8587651069625174
stacking,9,0.9088140767884066,0.7230299034670372,0.9564645362211432
stacking,10,1.3653519986375577,0.915773480197798,0.9086524797693551
