,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
count,395,395,395.0,395,395,395,395.0,395.0,395,395,395,395,395.0,395.0,395.0,395,395,395,395,395,395,395,395,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0
unique,2,2,,2,2,2,,,5,5,4,3,,,,2,2,2,2,2,2,2,2,,,,,,,,,,
top,GP,F,,U,GT3,T,,,other,other,course,mother,,,,no,yes,no,yes,yes,yes,yes,no,,,,,,,,,,
freq,349,208,,307,281,354,,,141,217,145,273,,,,344,242,214,201,314,375,329,263,,,,,,,,,,
mean,,,16.696202531645568,,,,2.749367088607595,2.5215189873417723,,,,,1.4481012658227848,2.0354430379746837,0.3341772151898734,,,,,,,,,3.9443037974683546,3.2354430379746835,3.108860759493671,1.481012658227848,2.2911392405063293,3.5544303797468353,5.708860759493671,10.90886075949367,10.713924050632912,10.415189873417722
std,,,1.2760427246056283,,,,1.0947351414285367,1.088200545826944,,,,,0.6975047549086825,0.8392403464185556,0.7436509736062507,,,,,,,,,0.8966586076885047,0.9988620396657205,1.1132781740183424,0.8907414280909669,1.2878965924510932,1.3903033913095773,8.00309568710818,3.319194671507669,3.7615046595560298,4.5814426109978434
min,,,15.0,,,,0.0,0.0,,,,,1.0,1.0,0.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
25%,,,16.0,,,,2.0,2.0,,,,,1.0,1.0,0.0,,,,,,,,,4.0,3.0,2.0,1.0,1.0,3.0,0.0,8.0,9.0,8.0
50%,,,17.0,,,,3.0,2.0,,,,,1.0,2.0,0.0,,,,,,,,,4.0,3.0,3.0,1.0,2.0,4.0,4.0,11.0,11.0,11.0
75%,,,18.0,,,,4.0,3.0,,,,,2.0,2.0,0.0,,,,,,,,,5.0,4.0,4.0,2.0,3.0,5.0,8.0,13.0,13.0,14.0
max,,,22.0,,,,4.0,4.0,,,,,4.0,4.0,3.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,75.0,19.0,19.0,20.0
